"loc_adm_2	",,,,nps2015,nps2016
20043,,,,8.25,9
39173,,,,6.33333,7.33333
"51085	",,,,7.5,6
"37147	",,,,9.2,8.6
"39139	",,,,6.57143,9.2
"31147	",,,,8.76923,7.92857
"24013	",,,,8.16667,10
"47031	",,,,6,8.42857
"31021	",,,,9.25,9.125
"20031	",,,,8.75,8.5
"31151	",,,,8.42857,8.58333
"05085	",,,,10,7
"31035	",,,,8.11765,8.125
"38091	",,,,8,8.23077
"29115	",,,,8.14286,10
"29063	",,,,10,8
"36055	",,,,7.66667,7.5
"18045	",,,,7.8,8.71429
"48239	",,,,8,9
"39063	",,,,9.5,8.53846
"17075	",,,,7.9434,7.77027
"55065	",,,,6.875,7.57143
19097,,,,4,8.33333
"17155	",,,,9,7.5
"36101	",,,,9.33333,9.5
"31027	",,,,7.91667,7.11111
"27063	",,,,7.96774,8.2069
"39091	",,,,8.4,7.375
"28095	",,,,9,5
"45027	",,,,9.16667,9.25
"46099	",,,,7.6,8.53191
"20053	",,,,9.33333,9
"27113	",,,,6.66667,8
"29061	",,,,7.5,7.66667
"39169	",,,,8,8.57143
"19143	",,,,8.3125,8.3913
"36065	",,,,5.66667,9
"31055	",,,,8.04348,7.82353
"19007	",,,,7.72727,9.3
"20095	",,,,9.25,8.66667
"19127	",,,,8.13043,7.9
"31177	",,,,8,7.8
"29199	",,,,9,9.2
"55111	",,,,8.94444,8.35135
19173,,,,7.8,8.71429
"17005	",,,,9,8.53846
"19137	",,,,7.77778,9.27273
"27081	",,,,8.55,8.40909
"13163	",,,,9.75,9
"48369	",,,,7.125,8
"55135	",,,,8.33333,8.66667
"42125	",,,,6,7
"47033	",,,,10,6.71429
"13175	",,,,8.5,6
"36123	",,,,6,6.76471
"08125	",,,,7.33333,9
"39021	",,,,8.6,7.66667
"36049	",,,,6,9
"29143	",,,,8,7
"51135	",,,,10,7.66667
"17121	",,,,9.25,8.91667
27135,,,,8.125,8
"47103	",,,,9.5,9
"47113	",,,,8.33333,10
"29087	",,,,8.25,7.875
"17171	",,,,8,7.6
"27079	",,,,8.21053,8.70968
46073,,,,9,7.95
"18073	",,,,8.1,7.72727
"45003	",,,,7.5,8
"46013	",,,,8.60784,8.70787
"27055	",,,,8.36364,7.65385
"29049	",,,,7.16667,9.33333
"48189	",,,,7.75,9.66667
"20171	",,,,7.66667,9
"27101	",,,,7.92105,7.97015
"39143	",,,,8.6,9.5
"22043	",,,,9,9.2
"45031	",,,,9.5,8.4
"48279	",,,,7.33333,10
"37041	",,,,6,9
"38085	",,,,10,4
"51067	",,,,5,6.66667
"17141	",,,,8.15789,7.88889
"31085	",,,,8,7
"37003	",,,,8,10
"37065	",,,,8.5,9
"36053	",,,,8,6.33333
"17061	",,,,8.23529,7.25
"19027	",,,,7.35714,7.81818
"55133	",,,,5.5,9
"38035	",,,,8,8.2381
"20045	",,,,9.33333,6.33333
"20009	",,,,7,7.90909
20127,,,,8.25,9.5
"55019	",,,,7.53125,8.45
"39159	",,,,8.76471,8.55556
"19165	",,,,8.14286,8.02703
"55011	",,,,8.69231,8.53333
"31051	",,,,8,7.72727
"27027	",,,,8.78261,8.51515
"29219	",,,,8.5,8.16667
"36051	",,,,9.33333,9.22222
"17137	",,,,8.2,8.69231
"17045	",,,,7.82759,7.5
"21047	",,,,9,9.75
"13193	",,,,10,10
"37015	",,,,7.83333,7.44444
"39069	",,,,7.15385,8.19231
"38105	",,,,9.5,7.33333
"19105	",,,,7.84615,9.02326
"31009	",,,,8.5,9
"20187	",,,,8,9
"18139	",,,,8.85714,7.9
"17203	",,,,7.73684,7.65385
"19129	",,,,8.83333,8.09091
"46057	",,,,8.38462,9.02632
"29037	",,,,7.75,8
"18075	",,,,8,8.44444
"38057	",,,,6,5
"55035	",,,,5.125,8.125
"47077	",,,,9.33333,8
"46061	",,,,7.81818,8.47059
"51117	",,,,5,8.75
"19197	",,,,8.6,8.625
"09005	",,,,7,8
"20039	",,,,7,8
"17099	",,,,8.17021,8.42623
"20015	",,,,8.375,8.88235
"40103	",,,,9,9.66667
"37053	",,,,8,9
"53001	",,,,8,8.5
"19109	",,,,7.61905,7.67568
"38017	",,,,8.25806,8.55556
"46065	",,,,6,7
"51001	",,,,10,9.66667
"19075	",,,,7.36364,9.04762
"17177	",,,,8.875,8
"55137	",,,,8,8
"40093	",,,,10,7
"56021	",,,,7.6,8.75
"27153	",,,,7.875,7.92857
"21035	",,,,8,9
"28093	",,,,8,10
"18181	",,,,7.625,7.5
"18069	",,,,7.6,8.64706
"26023	",,,,8.5,7.7
"36009	",,,,10,10
"39099	",,,,8.25,8.55556
"27089	",,,,8.8125,8.25
"29177	",,,,8.6,9.1
"47165	",,,,7,8
"46109	",,,,8.45,7.25
